Subject,URL,Título,Fecha de Publicación,Autor,Medio,Resumen,Actores Mencionados,Sentimiento hacia CONADE/Cortés,Tipo de Contenido,Relevancia,Error
https://grillodeyucatan.com/2025/08/05/tuzquepeando-kalimba-encabeza-los-festejos-estilo-narco-de-vadillo-en-tizimin/,https://grillodeyucatan.com/2025/08/05/tuzquepeando-kalimba-encabeza-los-festejos-estilo-narco-de-vadillo-en-tizimin/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,,NO_APLICA,ERROR,,
https://grillodeyucatan.com/2025/04/30/rommel-e-irak-hacen-negocios-en-la-conade-les-achocan-guayabera-y-huarache/,https://grillodeyucatan.com/2025/04/30/rommel-e-irak-hacen-negocios-en-la-conade-les-achocan-guayabera-y-huarache/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró o arrojó un error 404.,NO_APLICA,NO_APLICA,ERROR,1,
https://www.elprincipal.com.mx/imprimir.php?id=NjI1NjE=,https://www.elprincipal.com.mx/imprimir.php?id=NjI1NjE=,RENUNCIA VÍCTOR CABALLERO AL CEN DEL PRI: ¿ATERRIZARÁ EN MORENA?,2025-06-27,EL CHISMOGRAFO EN LA RED,El Principal,"Víctor Caballero Durán renunció a su cargo de subsecretario del CEN del PRI, y surgieron rumores de que se uniría a Morena. Su empresa de consultoría trabajó con Rommel Pacheco en la campaña por la alcaldía de Mérida, y su hija y yerno ahora trabajan en la Conade.","Rommel Pacheco, CONADE, Daniela Caballero",NEUTRO,NOTA_INFORMATIVA,7,
https://www.poresto.com/opinion/2025/8/29/todo-es-personal-en-yucatan-.html,https://www.poresto.com/opinion/2025/8/29/todo-es-personal-en-yucatan-.html,Todo es personal en Yucatán,2025-08-29,Redacción Por Esto!,PorEsto,"La columna aborda movimientos políticos en Yucatán, incluyendo la venta de un bolso de lujo por parte de una diputada del PAN, la incorporación de un exmiembro del PRI al gobierno de la 4T a través de la CONADE y Rommel Pacheco, y la renuncia de los asesores de imagen de este último.","Rommel Pacheco, CONADE, Esteban Fuentes, Sergio Vadillo, Daniela Caballero",NEUTRO,COLUMNA_OPINION,7,
https://www.elprincipal.com.mx/detalleNota.php?id=NjM0MDg=,https://www.elprincipal.com.mx/detalleNota.php?id=NjM0MDg=,¿Víctor Caballero y familia fuera de la Conade?,2025-08-30,Por EL PRINCIPAL,El Principal,"El artículo especula sobre la salida de Víctor Caballero Durán y su familia de la CONADE debido a tensiones con Esteban Fuentes Zapata. Se menciona que Rommel Pacheco se queda sin su equipo de imagen y que su nuevo equipo está conformado por ex-priístas, lo que podría complicar sus aspiraciones políticas.","Rommel Pacheco, Daniela Caballero, Esteban Fuentes, Sergio Vadillo",NEGATIVO,COLUMNA_OPINION,8,
https://www.poresto.com/opinion/2025/6/6/todo-es-personal-en-yucatan.html,https://www.poresto.com/opinion/2025/6/6/todo-es-personal-en-yucatan.html,Todo es Personal en Yucatán,2025-06-06,Redacción Por Esto!,PorEsto,"La columna analiza los resultados de las elecciones judiciales en Yucatán, destacando el bajo desempeño del operador de Morena en el 3er Distrito Federal, Felipe Duarte, debido a estructuras simuladas y falta de movilización real. Se contrasta este fracaso con el éxito en otros distritos y se mencionan otras polémicas políticas locales, como la del diputado Javier Osante y el secretario de Educación, Juan Balam, señalando un ambiente de simulación y conflicto interno.",Ninguno,NO_APLICA,COLUMNA_OPINION,2,
https://www.elprincipal.com.mx/detalleNota.php?id=NjM1MTg=,https://www.elprincipal.com.mx/detalleNota.php?id=NjM1MTg=,Sin querer queriendo vuelven al escenario público los grandes cuates Víctor Caballero Durán y Rolando Zapata Bello al encabezar ambos unos talleres de inteligencia artificial.,2025-09-06,Por EL PRINCIPAL,El Principal,"Víctor Caballero Durán y Rolando Zapata Bello reaparecen juntos en un evento de inteligencia artificial. La nota especula sobre el futuro político de Caballero, mencionando su renuncia a la subsecretaría de acción electoral y su distanciamiento de la campaña de Rommel Pacheco por conflictos con otros ex-priístas en la CONADE.","Rommel Pacheco, CONADE, Esteban Fuentes, Sergio Vadillo, Daniela Caballero",NEGATIVO,COLUMNA_OPINION,7,
https://grillodeyucatan.com/2025/07/11/la-prensa-abandona-a-rommel-usa-a-la-agencia-que-envio-comunicados-de-ana-guevara/,https://grillodeyucatan.com/2025/07/11/la-prensa-abandona-a-rommel-usa-a-la-agencia-que-envio-comunicados-de-ana-guevara/,ERROR,desconocida,desconocido,Grillo de Yucatán,,,NO_APLICA,ERROR,,
https://grillodeyucatan.com/2025/05/07/quien-se-va-primero-irak-el-zorroratatu-o-rulofarol-tan-malo-el-pinto-como-el-colorado/,https://grillodeyucatan.com/2025/05/07/quien-se-va-primero-irak-el-zorroratatu-o-rulofarol-tan-malo-el-pinto-como-el-colorado/,"Quien se va primero, Irak, el #ZorroRataTú o RuloFarol: Tan malo el pinto como el colorado",2025-05-07,admin,Grillo de Yucatán,"El artículo critica duramente la gestión de Irak Greene Marrufo al frente del IMDUT, acusándolo de incompetencia y de usar su cargo para promover la imagen de su hermano, Rommel Pacheco. Se menciona una apuesta en el gobierno sobre si él o Raúl Osorio serán los primeros en ser destituidos.","Irak Greene, Rommel Pacheco",NO_APLICA,COLUMNA_OPINION,7,
https://grillodeyucatan.com/2026/02/16/enfurece-rommel-ante-preguntas-sobre-la-proteccion-en-la-conade-a-un-presunto-acosador/,https://grillodeyucatan.com/2026/02/16/enfurece-rommel-ante-preguntas-sobre-la-proteccion-en-la-conade-a-un-presunto-acosador/,ERROR,desconocida,desconocido,Grillo de Yucatán,"La página no se pudo encontrar, devolvió un error 404.",,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2026/02/19/los-therians-de-morena-chapulines-zorroratas-chacales-cerdos-y-mas-fauna-politica/,https://grillodeyucatan.com/2026/02/19/los-therians-de-morena-chapulines-zorroratas-chacales-cerdos-y-mas-fauna-politica/,ERROR,2026-02-19,desconocido,Grillo de Yucatán,La página no se pudo encontrar (Error 404).,NO_APLICA,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2018/01/17/comienzan-las-actividades-en-el-patio-de-maniobras-del-centro-de-convenciones-siglo-xxi/,https://grillodeyucatan.com/2018/01/17/comienzan-las-actividades-en-el-patio-de-maniobras-del-centro-de-convenciones-siglo-xxi/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2016/07/20/rolando-zapata-y-el-gabinete-sectorial-de-educacion-dan-seguimiento-a-los-trabajos-de-la-reforma-educativa/,https://grillodeyucatan.com/2016/07/20/rolando-zapata-y-el-gabinete-sectorial-de-educacion-dan-seguimiento-a-los-trabajos-de-la-reforma-educativa/,ERROR,2016-07-20,desconocido,Grillo de Yucatán,"La página no se pudo encontrar, devolvió un error 404.",,NO_APLICA,ERROR,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3Mjk=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3Mjk=,EL FUNCIONARIO INCOMODO QUE TODOS CONTRATAN: GUILLERMO CORTES GONZALEZ,2026-02-19,POR EL PRINCIPAL,El Principal,"El artículo detalla la trayectoria de Guillermo Cortés González, un ex-priísta que, a pesar de un historial polémico y su supuesta participación en ""moches"", continúa siendo contratado en altos cargos. Se menciona su conflictiva salida de la delegación de Bienestar bajo Rogerio Castro y su posterior incorporación al equipo de Rommel Pacheco, cuestionando la decisión de este último.","Guillermo Cortés, Rogerio Castro, Rommel Pacheco",NEGATIVO,COLUMNA_OPINION,8,
https://www.poresto.com/opinion/2026/2/13/todo-es-personal-en-yucatan.html,https://www.poresto.com/opinion/2026/2/13/todo-es-personal-en-yucatan.html,Todo es Personal en Yucatán,2026-02-13,Redacción Por Esto!,PorEsto,"La columna analiza la renuncia de Rogerio Castro a la delegación del Bienestar en Yucatán, en medio de sospechas de enriquecimiento ilícito y alianzas políticas cuestionadas. Se detalla la alianza que formó con Rommel Pacheco, presuntamente operada por Guillermo Cortés, y cómo esta se debilita ante la caída política de Castro. El artículo también comenta otros movimientos políticos y cambios en el Ayuntamiento de Mérida y colegios de profesionistas.","Rogerio Castro, Infonavit, Rommel Pacheco, Guillermo Cortés",NEGATIVO,COLUMNA_OPINION,8,
https://www.elprincipal.com.mx/detalleNota.php?id=NjE5ODM=,https://www.elprincipal.com.mx/detalleNota.php?id=NjE5ODM=,900 deportistas representarán a Yucatán en la Olimpiada Conade 2025,2025-05-13,desconocido,El Principal,"El Gobernador Joaquín Díaz Mena abanderó a la delegación de 900 deportistas yucatecos que representarán al estado en la Olimpiada Conade 2025. Yucatán será una de las 5 sedes del evento, donde competirán más de 5 mil atletas de todo el país en diversas disciplinas. La delegación de Yucatán está compuesta por 1,100 personas, incluyendo atletas, entrenadores y delegados.",CONADE,NEUTRO,NOTA_INFORMATIVA,3,
https://www.elprincipal.com.mx/detalleNota.php?id=NjM3Mzc=,https://www.elprincipal.com.mx/detalleNota.php?id=NjM3Mzc=,Abanderan a delegación yucateca para la Paralimpiada Nacional Conade 2025,2025-09-19,Gobierno del Estado,El Principal,"El Gobernador Joaquín Díaz Mena abanderó a la delegación yucateca que participará en la Paralimpiada Nacional Conade 2025. La delegación está conformada por 98 personas, incluyendo 56 paratletas que competirán en diversas disciplinas. El gobernador reconoció el esfuerzo de los deportistas y sus familias.",CONADE,NEUTRO,NOTA_INFORMATIVA,5,
https://www.elprincipal.com.mx/detalleNota.php?id=NjQ1OTM=,https://www.elprincipal.com.mx/detalleNota.php?id=NjQ1OTM=,"Imagen por los suelos del director de la Conade, Rommel Pacheco Marrufo.",2025-11-20,El Principal,El Principal,"El artículo reporta sobre una investigación de la revista PROCESO y declaraciones de la ex-pareja de Rommel Pacheco, Paola Espinosa, quien lo acusa de enriquecimiento ilícito y de no declarar propiedades. Se menciona que el objetivo de Pacheco y su familia es amasar fortuna, y que aspira a ser gobernador para enriquecerse. La nota destaca el daño a la imagen pública del funcionario.","Rommel Pacheco, CONADE",NEGATIVO,ATAQUE_DIRECTO,9,
https://www.elprincipal.com.mx/detalleNota.php?id=NjE3MzA=,https://www.elprincipal.com.mx/detalleNota.php?id=NjE3MzA=,Con revisión de la infraestructura deportiva arrancan preparativos para la Olimpiada Nacional,2025-04-22,Gobierno del Estado,El Principal,"Yucatán será sede de la Olimpiada Nacional 2025 en 9 disciplinas deportivas. La CONADE ha comenzado a realizar visitas a las unidades deportivas para verificar las adecuaciones necesarias, prestando especial atención a la Pista de Remo y Canotaje de Progreso, que requiere un dragado y mantenimiento profundo.",CONADE,NEUTRO,NOTA_INFORMATIVA,5,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU0NjY=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU0NjY=,Gobernador Joaquín Díaz Mena inaugura el Campeonato 107 de la Liga Infantil y Juvenil de Béisbol Yucatán,2026-01-31,Gobierno del Estado,El Principal,"El Gobernador de Yucatán, Joaquín Díaz Mena, inauguró el campeonato 107 de la Liga Infantil y Juvenil de Béisbol de Yucatán, reafirmando su compromiso con el deporte. Al evento asistió el director de la CONADE, Rommel Pacheco, quien destacó el respaldo del gobierno federal al deporte como herramienta de desarrollo social y para la juventud.","Rommel Pacheco, CONADE",POSITIVO,NOTA_INFORMATIVA,5,
https://www.elprincipal.com.mx/detalleNota.php?id=NjI2NTQ=,https://www.elprincipal.com.mx/detalleNota.php?id=NjI2NTQ=,Venados F.C anuncia nuevo fichaje de cara al Apertura 2025,2025-07-04,desconocido,El Principal,"Venados F.C. ha anunciado el fichaje del defensa central Juan Carlos García Sancho, proveniente del Atlético Morelia. Esta contratación se suma a otras incorporaciones como Juan Calero y Paul Galván, con el objetivo de fortalecer al equipo para el Torneo Apertura 2025 de la Liga de Expansión MX y mantenerse como un serio contendiente al título.",,NO_APLICA,NOTA_DEPORTIVA,1,
https://grillodeyucatan.com/2025/05/16/la-federacion-mexicana-de-judo-la-conade-y-el-idey-dejan-sin-apoyo-a-judoca-yucateca/,https://grillodeyucatan.com/2025/05/16/la-federacion-mexicana-de-judo-la-conade-y-el-idey-dejan-sin-apoyo-a-judoca-yucateca/,ERROR,2025-05-16,desconocido,Grillo de Yucatán,La página no se pudo encontrar (Error 404).,,NO_APLICA,ERROR,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU1NTk=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU1NTk=,Sefotur y el Consulado de Estados Unidos fortalecen vínculos a favor del turismo en Yucatán,2026-02-06,desconocido,El Principal,"La Secretaría de Fomento Turístico (Sefotur) de Yucatán y el Consulado de Estados Unidos en Mérida acordaron fortalecer su colaboración para impulsar el turismo. En la reunión se destacó la importancia del mercado estadounidense, la conectividad aérea y el crecimiento del turismo de cruceros, en línea con la visión del Gobernador Joaquín Díaz Mena.",Joaquín Díaz Mena,NO_APLICA,NOTA_INFORMATIVA,2,
https://grillodeyucatan.com/2025/07/16/victor-chuc-y-naomi-baas-destacan-en-el-comparativo-de-la-olimpiada-nacional-2024-y-2025/,https://grillodeyucatan.com/2025/07/16/victor-chuc-y-naomi-baas-destacan-en-el-comparativo-de-la-olimpiada-nacional-2024-y-2025/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se pudo encontrar (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/06/10/la-atleta-tizimilena-silvana-montserrat-mena-pena-obtiene-su-pase-a-los-nacionales-conade-2025/,https://grillodeyucatan.com/2025/06/10/la-atleta-tizimilena-silvana-montserrat-mena-pena-obtiene-su-pase-a-los-nacionales-conade-2025/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,NO_APLICA,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/07/28/para-mi-vales-oro-hijo-mio-asi-consolo-gilberto-keb-a-su-hijo-que-se-quedo-sin-medalla-en-los-nacionales-conade/,https://grillodeyucatan.com/2025/07/28/para-mi-vales-oro-hijo-mio-asi-consolo-gilberto-keb-a-su-hijo-que-se-quedo-sin-medalla-en-los-nacionales-conade/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,,NO_APLICA,ERROR,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjUzNjU=,https://www.elprincipal.com.mx/detalleNota.php?id=NjUzNjU=,Yucatán se posiciona como el corazón del Mundo Maya en la Feria Internacional de Turismo en Madrid,2026-01-23,Gobierno del Estado,El Principal,"Yucatán presentó en la Feria Internacional de Turismo en Madrid el evento 'K’íiwik: Feria Turística del Mundo Maya 2026'. Este encuentro internacional, que se celebrará en Mérida, busca fortalecer la proyección turística del sureste mexicano y de la región Mundo Maya, destacando su herencia cultural, infraestructura y atractivos naturales.",,NO_APLICA,NOTA_INFORMATIVA,2,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU2ODU=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU2ODU=,Gobierno del Renacimiento Maya impulsa crecimiento industrial y creación de empleos,2026-02-15,desconocido,El Principal,"El Gobernador de Yucatán, Joaquín Díaz Mena, se reunió con directivos de Grupo Bachoco para discutir los proyectos de expansión de la empresa en el estado. El gobierno se comprometió a facilitar las inversiones para fomentar la creación de empleos, especialmente en el interior del estado.",Ninguno,NO_APLICA,NOTA_INFORMATIVA,2,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU0NjQ=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU0NjQ=,Modernización del paso superior vehicular de City Center entra en su recta final,2026-01-31,desconocido,El Principal,"El artículo informa sobre la fase final de la modernización del paso superior vehicular de City Center en Mérida. La obra, con una inversión de más de 74 millones de pesos, busca mejorar la movilidad en una zona de alto tráfico. Se espera que el Gobernador Joaquín Díaz Mena inaugure la obra en las próximas semanas.",,NO_APLICA,NOTA_INFORMATIVA,2,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NjU=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NjU=,"INCENDIAN TRES VEHÍCULOS EN EL LIBRAMIENTO CANCÚN- MÉRIDA, ACTIVAN OPERATIVO DE SEGURIDAD.",2026-02-22,desconocido,El Principal,"Tres vehículos fueron incendiados en el libramiento Cancún-Mérida, lo que provocó un operativo de seguridad y el cierre temporal de la vía. No se reportaron heridos y las autoridades investigan la posible relación con grupos criminales.",,NO_APLICA,NOTA_INFORMATIVA,2,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NTg=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NTg=,Consejería Jurídica y Colegio Notarial impulsan actualización de las y los fedatarios,2026-02-21,Gobierno del Estado,El Principal,"La Consejería Jurídica y el Colegio Notarial de Yucatán iniciaron los Cursos de Actualización y Recertificación 2026 para notarios y aspirantes. El objetivo es fortalecer la certeza jurídica y el ejercicio notarial, en colaboración con el gobierno estatal. Se abordaron temas como jurisdicción voluntaria, sucesiones y mecanismos alternativos de solución de controversias.",,NO_APLICA,NOTA_INFORMATIVA,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3Njk=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3Njk=,Cosmos: un susurro en blanco y negro llega en proyección gratis con la Sedeculta,2026-02-22,desconocido,El Principal,"Como parte del Día Internacional de las Lenguas Maternas, se proyectó gratuitamente la película ""Cosmos"" en el Gran Museo del Mundo Maya. El filme, dirigido por Germinal Roux y filmado en Yucatán, narra la amistad entre una viuda y un guardián maya. Tras la función, el productor y los actores dialogaron con el público sobre la realización de la película.",,NO_APLICA,NOTA_INFORMATIVA,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NTY=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NTY=,Reconocimiento nacional a Mérida por sus buenas prácticas municipales.,2026-02-21,Ayuntamiento de Mérida,El Principal,"El Ayuntamiento de Mérida fue galardonado con el Premio Francisco Villarreal Torres por su programa 'Calle por Calle', una iniciativa de impacto social para el mantenimiento y atención de la ciudad. La alcaldesa Cecilia Patrón recibió el reconocimiento, destacando la labor de los trabajadores municipales. El premio es otorgado por la Asociación Nacional de Alcaldes (ANAC) a las mejores prácticas de gobiernos locales.",,NO_APLICA,NOTA_INFORMATIVA,1,
https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NzE=,https://www.elprincipal.com.mx/detalleNota.php?id=NjU3NzE=,Aviso importante a la comunidad educativa.,2026-02-22,desconocido,El Principal,"El artículo desmiente un comunicado falso que circula en redes sociales sobre la suspensión de clases, instando a la comunidad a consultar únicamente canales oficiales de la Secretaría de Educación para obtener información verídica.",Ninguno,NO_APLICA,NOTA_INFORMATIVA,1,
https://grillodeyucatan.com/2025/07/22/la-arquera-esmeralda-sanchez-se-cuelga-medalla-de-oro-en-los-nacionales-conade-2025/,https://grillodeyucatan.com/2025/07/22/la-arquera-esmeralda-sanchez-se-cuelga-medalla-de-oro-en-los-nacionales-conade-2025/,ERROR,2025-07-22,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/07/25/la-seleccion-de-atletismo-cerro-con-30-medallas-de-oro-en-los-nacionales-conade-2025/,https://grillodeyucatan.com/2025/07/25/la-seleccion-de-atletismo-cerro-con-30-medallas-de-oro-en-los-nacionales-conade-2025/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se pudo encontrar (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/12/20/rommel-excluye-de-su-posada-a-lideresas-del-pt/,https://grillodeyucatan.com/2025/12/20/rommel-excluye-de-su-posada-a-lideresas-del-pt/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/10/14/calla-y-otorga-irak-tu-se-niega-a-hablar-de-sus-bisnes-en-la-conade/,https://grillodeyucatan.com/2025/10/14/calla-y-otorga-irak-tu-se-niega-a-hablar-de-sus-bisnes-en-la-conade/,ERROR,desconocida,desconocido,Grillo de Yucatán,La página no se encontró o arrojó un error 404.,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/07/14/mauricio-vila-anuncia-mas-obras-para-impulsar-el-deporte-y-la-cultura-en-yucatan/,https://grillodeyucatan.com/2025/07/14/mauricio-vila-anuncia-mas-obras-para-impulsar-el-deporte-y-la-cultura-en-yucatan/,ERROR,desconocida,desconocido,Grillo de Yucatán,No se pudo acceder a la página (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/06/21/progreso-recibe-con-los-brazos-abiertos-el-tour-mundial-de-voleibol-de-playa/,https://grillodeyucatan.com/2025/06/21/progreso-recibe-con-los-brazos-abiertos-el-tour-mundial-de-voleibol-de-playa/,ERROR,desconocida,desconocido,Grillo de Yucatán,No se pudo acceder a la página (Error 404).,,NO_APLICA,ERROR,1,
https://grillodeyucatan.com/2025/04/04/me-vale-madre-lo-que-digan-sobre-mi-ana-guevara/,https://grillodeyucatan.com/2025/04/04/me-vale-madre-lo-que-digan-sobre-mi-ana-guevara/,ERROR,2025-04-04,desconocido,Grillo de Yucatán,La página no se pudo encontrar (Error 404).,NO_APLICA,NO_APLICA,ERROR,1,
